除權息年度,股利 (元),除息日,發放日,除息前股價 (元),填息天數,年股利 (元),年殖利率 (%)
2026,1.35,2026/07/21,2026/08/10,52.6,--,3.216,7.18
2026,1.0,2026/04/23,2026/05/14,42.61,13,3.216,7.18
2026,0.866,2026/01/22,2026/02/11,38.21,5,3.216,7.18
2025,0.866,2025/10/23,2025/11/14,37.75,84,3.872,11.01
2025,0.866,2025/07/21,2025/08/08,35.6,51,3.872,11.01
2025,1.07,2025/04/23,2025/05/14,31.98,6,3.872,11.01
2025,1.07,2025/01/17,2025/02/20,36.39,32,3.872,11.01
2024,1.07,2024/10/17,2024/11/12,39.02,--,3.63,9.22
2024,1.07,2024/07/16,2024/08/09,42.37,--,3.63,9.22
2024,0.79,2024/04/18,2024/05/15,38.94,20,3.63,9.22
2024,0.7,2024/01/17,2024/02/21,36.37,17,3.63,9.22
2023,1.2,2023/10/19,2023/11/14,34.9,33,2.2,6.22
2023,1.0,2023/07/18,2023/08/11,35.94,7,2.2,6.22
2022,2.1,2022/10/19,2022/11/22,25.84,48,2.1,8.13
2021,1.8,2021/10/22,2021/11/25,32.4,25,1.8,5.56
2020,1.6,2020/10/28,2020/12/01,29.69,41,1.6,5.39
2019,1.8,2019/10/23,2019/11/26,29.03,72,1.8,6.2
2018,1.45,2018/10/23,2018/11/27,25.81,122,1.45,5.62
2017,0.95,2017/10/30,2017/12/04,26.39,88,0.95,3.6
2016,1.3,2016/10/26,2016/11/28,25.35,239,1.3,5.13
2015,0.95,2015/10/26,2015/11/26,22.65,129,0.95,4.19
2014,1.0,2014/10/24,2014/11/27,23.96,43,1.0,4.17
2013,0.85,2013/10/24,2013/11/27,24.18,175,0.85,3.52
2012,1.3,2012/10/24,2012/11/27,24.4,205,1.3,5.33
2011,2.2,2011/10/26,2011/11/29,25.21,120,2.2,8.73
2009,2.0,2009/10/23,2009/11/26,23.63,76,2.0,8.46
